params,time,steps,reward_mean,reward_median,reward_min,reward_max,reward_std
"{""alpha"": 0.5, ""q_init"": ""random"", ""epsilon"": 0.5, ""epsilon_decay"": 0.0001, ""discount_factor"": 0.3}",37.9977259999996,100,-0.1005233915462112,-0.10000000000000002,-0.10573248407643311,-0.10000000000000002,0.001031440331325804
"{""alpha"": 0.5, ""q_init"": ""random"", ""epsilon"": 0.5, ""epsilon_decay"": 0.0001, ""discount_factor"": 0.4}",37.36589699999968,100,-0.10034793679676841,-0.10000000000000002,-0.1041284403669725,-0.09877641824249167,0.0008439058237633786
"{""alpha"": 0.5, ""q_init"": ""random"", ""epsilon"": 0.5, ""epsilon_decay"": 0.0001, ""discount_factor"": 0.5}",36.69946499999969,100,-0.10047983355195488,-0.10000000000000002,-0.10441176470588234,-0.10000000000000002,0.0008555456629701423
"{""alpha"": 0.5, ""q_init"": ""random"", ""epsilon"": 0.5, ""epsilon_decay"": 0.0001, ""discount_factor"": 0.6}",34.843941000000086,100,-0.10064948245153081,-0.10000000000000002,-0.10403587443946188,-0.10000000000000002,0.0009146796435915013
"{""alpha"": 0.5, ""q_init"": ""random"", ""epsilon"": 0.5, ""epsilon_decay"": 0.0001, ""discount_factor"": 0.7}",32.83118100000047,100,-0.10020336432373013,-0.10000000000000002,-0.10430622009569378,-0.0959409594095941,0.0011680548179691204
"{""alpha"": 0.5, ""q_init"": ""random"", ""epsilon"": 0.5, ""epsilon_decay"": 0.0001, ""discount_factor"": 0.8}",29.595698999999513,100,-0.1009605457191197,-0.10113354621032944,-0.1042056074766355,-0.09737470167064438,0.0013852457369264949
"{""alpha"": 0.5, ""q_init"": ""random"", ""epsilon"": 0.5, ""epsilon_decay"": 0.0001, ""discount_factor"": 0.9}",13.70696500000031,100,-0.11079418401300463,-0.11005617977528089,-0.1375,-0.1030508474576271,0.0063858492093317966
"{""alpha"": 0.5, ""q_init"": 0, ""epsilon"": 0.1, ""epsilon_decay"": 0.0001, ""discount_factor"": 0.0}",47.85689600000023,100,-0.10121502895213112,-0.10000000000000002,-0.1176470588235294,-0.10000000000000002,0.00278984220129422
"{""alpha"": 0.5, ""q_init"": 0, ""epsilon"": 0.1, ""epsilon_decay"": 0.0001, ""discount_factor"": 0.1}",45.96242799999982,100,-0.1005748697848054,-0.10000000000000002,-0.10841121495327102,-0.10000000000000002,0.0012181444974618896
"{""alpha"": 0.5, ""q_init"": 0, ""epsilon"": 0.1, ""epsilon_decay"": 0.0001, ""discount_factor"": 0.2}",45.21423500000037,100,-0.10049764350488237,-0.10000000000000002,-0.1038135593220339,-0.10000000000000002,0.0009257790031676811
"{""alpha"": 0.5, ""q_init"": 0, ""epsilon"": 0.1, ""epsilon_decay"": 0.0001, ""discount_factor"": 0.3}",43.392533999999614,100,-0.10063358402923134,-0.10000000000000002,-0.10599999999999998,-0.10000000000000002,0.0011827586715856646
"{""alpha"": 0.5, ""q_init"": 0, ""epsilon"": 0.1, ""epsilon_decay"": 0.0001, ""discount_factor"": 0.4}",43.669543000000886,100,-0.10042382428411605,-0.10000000000000002,-0.10508474576271186,-0.10000000000000002,0.0009472787036214122
"{""alpha"": 0.5, ""q_init"": 0, ""epsilon"": 0.1, ""epsilon_decay"": 0.0001, ""discount_factor"": 0.5}",43.2120189999996,100,-0.10078521992852679,-0.10000000000000002,-0.1052023121387283,-0.10000000000000002,0.001017956962049157
"{""alpha"": 0.5, ""q_init"": 0, ""epsilon"": 0.1, ""epsilon_decay"": 0.0001, ""discount_factor"": 0.6}",41.27734099999998,100,-0.1003960606767036,-0.10000000000000002,-0.10316901408450703,-0.09765458422174841,0.0008838598620095621
"{""alpha"": 0.5, ""q_init"": 0, ""epsilon"": 0.1, ""epsilon_decay"": 0.0001, ""discount_factor"": 0.7}",40.464413000000604,100,-0.1003876868633931,-0.10000000000000002,-0.10471204188481674,-0.09708222811671086,0.0009127401547022819
"{""alpha"": 0.5, ""q_init"": 0, ""epsilon"": 0.1, ""epsilon_decay"": 0.0001, ""discount_factor"": 0.8}",34.75998499999969,100,-0.10034580395309384,-0.10000000000000002,-0.10315789473684209,-0.09739952718676123,0.0007662106610553882
"{""alpha"": 0.5, ""q_init"": 0, ""epsilon"": 0.1, ""epsilon_decay"": 0.0001, ""discount_factor"": 0.9}",13.885742000000391,100,-0.11436912665467248,-0.11224546464272492,-0.14500000000000002,-0.10394736842105265,0.008105141563480715
"{""alpha"": 0.5, ""q_init"": 0, ""epsilon"": 0.3, ""epsilon_decay"": 0.0001, ""discount_factor"": 0.0}",46.00512699999945,100,-0.1008479915701187,-0.10000000000000002,-0.11249999999999999,-0.10000000000000002,0.0016451315207619813
"{""alpha"": 0.5, ""q_init"": 0, ""epsilon"": 0.3, ""epsilon_decay"": 0.0001, ""discount_factor"": 0.1}",42.578481000000465,100,-0.10113405135425299,-0.10097116310255358,-0.10756302521008403,-0.10000000000000002,0.0015102889879772597
"{""alpha"": 0.5, ""q_init"": 0, ""epsilon"": 0.3, ""epsilon_decay"": 0.0001, ""discount_factor"": 0.2}",42.69234099999994,100,-0.1003090200223364,-0.10000000000000002,-0.10491803278688522,-0.10000000000000002,0.0008249917358157786
"{""alpha"": 0.5, ""q_init"": 0, ""epsilon"": 0.3, ""epsilon_decay"": 0.0001, ""discount_factor"": 0.3}",40.99076299999979,100,-0.1004149967841834,-0.10000000000000002,-0.10299003322259136,-0.10000000000000002,0.0007420725377594861
"{""alpha"": 0.5, ""q_init"": 0, ""epsilon"": 0.3, ""epsilon_decay"": 0.0001, ""discount_factor"": 0.4}",41.11974399999963,100,-0.1007160114619558,-0.10000000000000002,-0.10865384615384616,-0.10000000000000002,0.001350166767383214
"{""alpha"": 0.5, ""q_init"": 0, ""epsilon"": 0.3, ""epsilon_decay"": 0.0001, ""discount_factor"": 0.5}",39.817918000000645,100,-0.10029712623580134,-0.10000000000000002,-0.1030716723549488,-0.10000000000000002,0.000667431900657986
"{""alpha"": 0.5, ""q_init"": 0, ""epsilon"": 0.3, ""epsilon_decay"": 0.0001, ""discount_factor"": 0.6}",37.14064599999983,100,-0.10092377910293983,-0.10102448979591837,-0.10616438356164383,-0.09682080924855489,0.0014777908582574645
